#{"t_start": 1693592155.0142877, "env_id": null}
r,l,t
1230.0,500,6554.063076
785.0,500,6554.204808
814.0,500,6554.204808
640.0,500,6554.204808
547.0,411,6562.169204
1090.0,500,6563.705039
811.0,500,6563.846657
803.0,500,6563.846657
814.0,500,6572.29829
814.0,500,6573.867099
803.0,500,6573.994088
880.0,500,6573.994088
836.0,500,6581.944731
785.0,500,6583.560306
966.0,500,6583.697828
639.0,500,6583.697828
835.0,500,6592.368203
832.0,500,7227.45216
1034.0,500,7227.59278
937.0,500,7227.59278
789.0,500,7235.809501
629.0,500,7237.471353
640.0,500,7237.61204
896.0,500,7237.61204
787.0,500,7246.518499
896.0,500,7248.164551
965.0,500,7248.307432
799.0,500,7248.307432
1244.0,500,7256.55375
809.0,500,7258.215686
931.0,500,7258.382417
799.0,500,7258.382417
892.0,500,7267.843608
786.0,500,7915.785669
788.0,500,7915.926291
811.0,500,7915.926291
639.0,500,7924.036401
1246.0,500,7925.64796
1393.0,500,7925.788039
796.0,500,7925.788039
789.0,500,7934.789701
925.0,500,7936.387629
830.0,500,7936.528253
713.0,500,7936.528253
1161.0,500,7944.714481
1329.0,500,7946.362001
1074.0,500,7946.502649
788.0,500,7946.502649
965.0,500,7955.408769
972.0,500,7957.024365
1310.0,500,7957.164945
992.0,500,7957.164945
1133.0,500,8591.323101
917.0,500,8592.831713
1057.0,500,8592.970552
747.0,500,8592.970552
1114.0,500,8601.406542
981.0,500,8602.98642
1228.0,500,8603.099011
1190.0,500,8603.099011
644.0,500,8611.033167
853.0,500,8612.601672
811.0,500,8612.726652
1226.0,500,8612.726652
822.0,500,8621.194906
747.0,500,8622.793075
865.0,500,8622.918051
1184.0,500,8622.918051
899.0,500,9270.254716
948.0,500,9271.845005
1329.0,500,9271.973563
1172.0,500,9271.973563
1055.0,500,9280.815505
1007.0,500,9282.353516
1167.0,500,9282.495668
1186.0,500,9282.495668
1892.0,500,9290.385784
813.0,500,9291.96433
1427.0,500,9292.09121
1198.0,500,9292.09121
1375.0,500,9300.715092
698.0,500,9302.298851
1386.0,500,9302.439484
854.0,500,9302.439484
1252.0,500,9937.837502
837.0,500,9939.38977
804.0,500,9939.530436
1216.0,500,9939.530436
871.0,500,9947.965681
1068.0,500,9949.526105
1014.0,500,9949.666717
1155.0,500,9949.666717
1055.0,500,9957.5143
875.0,500,9959.130143
1063.0,500,9959.271799
1721.0,500,9959.271799
834.0,500,9968.004386
724.0,500,9969.605742
852.0,500,9969.762
1342.0,500,9969.762
927.0,500,10598.450105
536.0,411,10598.450105
1036.0,500,10600.017966
1374.0,500,10600.141687
835.0,500,10608.686621
1200.0,500,10608.686621
640.0,500,10610.348581
885.0,500,10610.50487
891.0,500,10618.738146
1018.0,500,10618.738146
1332.0,500,10620.416362
1158.0,500,10620.557043
815.0,500,10629.290145
799.0,500,10629.290145
1250.0,500,10631.065257
840.0,500,10631.221817
813.0,500,11281.608676
831.0,500,11281.608676
1379.0,500,11283.256823
1085.0,500,11283.397448
925.0,500,11292.348447
1335.0,500,11292.348447
1008.0,500,11293.993804
893.0,500,11294.134405
501.0,415,11302.241028
1141.0,500,11302.289703
1172.0,500,11302.289703
911.0,500,11304.107612
999.0,500,11313.280288
967.0,500,11313.358408
1022.0,500,11313.358408
1321.0,500,11315.17801
880.0,500,11972.747143
931.0,500,11972.825299
1230.0,500,11972.825299
1262.0,500,11974.706746
549.0,415,11981.573992
967.0,500,11983.156641
1194.0,500,11983.219152
974.0,500,11985.009361
921.0,500,11991.562987
1176.0,500,11993.208443
987.0,500,11993.270939
907.0,500,11995.028668
813.0,500,12002.083874
1190.0,500,12003.683261
1294.0,500,12003.745772
1146.0,500,12005.470222
792.0,500,12638.688567
1015.0,500,12640.209515
1171.0,500,12640.271985
859.0,500,12641.855338
838.0,500,12648.019057
1290.0,500,12649.539953
1290.0,500,12649.586858
923.0,500,12651.232912
1030.0,500,12657.410843
1164.0,500,12658.978087
1135.0,500,12659.04062
924.0,500,12660.767037
1619.0,500,12667.289311
1609.0,500,12668.904023
1192.0,500,12668.966518
1101.0,500,12670.731466
1491.0,500,12677.308933
1238.0,500,13295.834074
1868.0,500,13295.880942
1186.0,500,13297.558752
835.0,500,13304.364505
1920.0,500,13305.978684
1397.0,500,13306.041163
1200.0,500,13307.78313
1425.0,500,13314.115673
1241.0,500,13315.716186
1273.0,500,13315.781442
1351.0,500,13317.537237
1445.0,500,13324.527974
1469.0,500,13326.112794
1402.0,500,13326.175326
839.0,500,13327.948724
834.0,500,13334.218173
1394.0,500,13335.786411
1366.0,500,13335.848871
1182.0,500,13965.242245
1209.0,500,13972.328916
1534.0,500,13973.849716
836.0,500,13973.912194
1331.0,500,13975.576377
1596.0,500,13981.878926
1089.0,496,13983.367867
1653.0,500,13983.477201
827.0,500,13985.218455
1375.0,500,13992.212114
1579.0,500,13993.717177
1310.0,500,13993.84217
1170.0,500,13995.550897
1001.0,500,14002.0414
1279.0,500,14003.626452
1402.0,500,14003.752235
1652.0,500,14626.590086
1332.0,500,14633.646114
1640.0,500,14635.136136
1857.0,500,14635.26115
1711.0,500,14636.984494
563.0,382,14642.505707
1483.0,500,14643.273292
1459.0,500,14644.934439
1202.0,500,14646.660135
1199.0,500,14652.916863
1263.0,500,14653.671579
982.0,500,14655.300489
1451.0,500,14657.007697
1206.0,500,14662.606868
1436.0,500,14663.421235
2255.0,500,14665.084012
1263.0,500,14666.903891
1710.0,500,15297.799585
934.0,468,15297.958656
1030.0,500,15300.278389
1331.0,500,15302.002976
1598.0,500,15307.458346
1364.0,500,15307.600733
1447.0,500,15309.861811
1286.0,500,15311.584068
1340.0,500,15317.523855
1270.0,500,15317.683411
1138.0,500,15320.019462
1374.0,500,15321.784443
1163.0,500,15327.388918
1246.0,500,15327.545162
1569.0,500,15329.960358
